Date,Forecast Sessions
2020-09-01,169788.11243378042
2020-10-01,167694.5369628024
2020-11-01,167971.01631479018
2020-12-01,167934.50421712032
2021-01-01,167939.32603569978
2021-02-01,167938.68926224942
2021-03-01,167938.77335509125
2021-04-01,167938.76224971926
2021-05-01,167938.76371630412
2021-06-01,167938.7635226257
2021-07-01,167938.76354820305
2021-08-01,167938.76354482528
2021-09-01,167938.76354527136
2021-10-01,167938.76354521245
2021-11-01,167938.76354522022
2021-12-01,167938.7635452192
2022-01-01,167938.76354521935
2022-02-01,167938.76354521932
2022-03-01,167938.76354521932
2022-04-01,167938.76354521932
2022-05-01,167938.76354521932
2022-06-01,167938.76354521932
2022-07-01,167938.76354521932
2022-08-01,167938.76354521932
2022-09-01,167938.76354521932
2022-10-01,167938.76354521932
2022-11-01,167938.76354521932
2022-12-01,167938.76354521932
2023-01-01,167938.76354521932
2023-02-01,167938.76354521932
