Source / Medium,Users,Sessions,Transactions,Revenue,Revenue per User,Conversion Rate,Revenue per Transaction
A,1110513.0,1702468.0,7566.0,1294136.0,1.1653497077476807,0.6813067474221373,171.04625958234206
S,6197.0,11634.0,3907.0,719182.0,116.05325157334194,63.046635468775214,184.075249552086
B,696901.0,840512.0,2838.0,540692.0,0.775851950277012,0.407231443203554,190.5186751233263
U,2830.0,6336.0,1394.0,293292.0,103.63674911660777,49.25795053003534,210.39598278335725
C,255043.0,368662.0,1689.0,207764.0,0.8146234164435017,0.6622412691193249,123.01006512729425
E,185065.0,328563.0,1148.0,197904.0,1.0693756247804824,0.6203225893604949,172.390243902439
F,142865.0,173986.0,823.0,149046.0,1.0432646204458755,0.5760683162426067,181.10085054678007
G,53214.0,86987.0,617.0,84647.0,1.5906904198143346,1.1594693125869133,137.19124797406806
I,54565.0,91971.0,392.0,54376.0,0.9965362411802438,0.718409236690186,138.71428571428572
M,17944.0,23186.0,197.0,28230.0,1.573227819884084,1.0978600089166295,143.2994923857868
CC,1333.0,1765.0,111.0,24440.0,18.33458364591148,8.32708177044261,220.18018018018017
P,22477.0,25187.0,100.0,16480.0,0.7331939315744984,0.44489923032433154,164.8
H,71565.0,97793.0,88.0,15067.0,0.21053587647593097,0.12296513658911479,171.2159090909091
EE,620.0,1138.0,61.0,14257.0,22.99516129032258,9.838709677419356,233.72131147540983
R,13004.0,18008.0,61.0,9438.0,0.7257766840972009,0.46908643494309443,154.72131147540983
Z,5383.0,6606.0,34.0,6994.0,1.2992754969347948,0.6316180568456251,205.7058823529412
l.M,4680.0,6247.0,40.0,5839.0,1.2476495726495727,0.8547008547008548,145.975
K,22053.0,26254.0,35.0,5021.0,0.22767877386296648,0.15870856572801886,143.45714285714286
T,3357.0,5754.0,38.0,4678.0,1.3935061066428358,1.1319630622579684,123.10526315789474
J,11112.0,11702.0,27.0,4009.0,0.36078113750899926,0.24298056155507558,148.4814814814815
l.K,5004.0,5644.0,24.0,3990.0,0.7973621103117506,0.4796163069544364,166.25
JJ,610.0,763.0,8.0,3880.0,6.360655737704918,1.3114754098360655,485.0
L,10271.0,24629.0,24.0,3640.0,0.3543958718722617,0.23366760782786486,151.66666666666666
FF,1213.0,1455.0,9.0,1548.0,1.2761747732893651,0.741962077493817,172.0
O,4418.0,10882.0,9.0,1527.0,0.3456315074694432,0.2037120869171571,169.66666666666666
DD,320.0,503.0,9.0,1307.0,4.084375,2.8125,145.22222222222223
II,102.0,214.0,3.0,450.0,4.411764705882353,2.941176470588235,150.0
HH,81.0,215.0,3.0,439.0,5.419753086419753,3.7037037037037033,146.33333333333334
lI,660.0,1112.0,2.0,312.0,0.4727272727272727,0.30303030303030304,156.0
D,107241.0,127386.0,2.0,290.0,0.0027041896289665334,0.001864958364804506,145.0
V,2507.0,2638.0,2.0,135.0,0.053849222177901876,0.07977662544874352,67.5
BB,382.0,1133.0,1.0,103.0,0.2696335078534031,0.2617801047120419,103.0
AA,2697.0,3012.0,1.0,81.0,0.030033370411568408,0.03707823507601038,81.0
KK,119.0,135.0,0.0,0.0,0.0,0.0,
N,6315.0,7057.0,0.0,0.0,0.0,0.0,
GG,216.0,219.0,0.0,0.0,0.0,0.0,
Y,913.0,943.0,0.0,0.0,0.0,0.0,
euromessage / push,99.0,125.0,0.0,0.0,0.0,0.0,
